"","title","author","subject","abstract","meta"
"11","Feature Selection for Survival Analysis with Competing Risks using Deep Learning","Carl Rietschel, Jinsung Yoon, Mihaela van der Schaar","Machine Learning (cs.LG); Machine Learning (stat.ML)","Deep learning models for survival analysis have gained significant attention in the literature, but they suffer from severe performance deficits when the dataset contains many irrelevant features. We give empirical evidence for this problem in real-world medical settings using the state-of-the-art model DeepHit. Furthermore, we develop methods to improve the deep learning model through novel approaches to feature selection in survival analysis. We propose filter methods for \textit{hard} feature selection and a neural network architecture that weights features for \textit{soft} feature selection. Our experiments on two real-world medical datasets demonstrate that substantial performance improvements against the original models are achievable.","Thu, 22 Nov 2018 22:25:46 UTC (228 KB)"
"12","Deep Learning Based Phase Reconstruction for Speaker Separation: A Trigonometric Perspective","Zhong-Qiu Wang, Ke Tan, DeLiang Wang","Sound (cs.SD); Computation and Language (cs.CL); Audio and Speech Processing (eess.AS)","This study investigates phase reconstruction for deep learning based monaural talker-independent speaker separation in the short-time Fourier transform (STFT) domain. The key observation is that, for a mixture of two sources, with their magnitudes accurately estimated and under a geometric constraint, the absolute phase difference between each source and the mixture can be uniquely determined; in addition, the source phases at each time-frequency (T-F) unit can be narrowed down to only two candidates. To pick the right candidate, we propose three algorithms based on iterative phase reconstruction, group delay estimation, and phase-difference sign prediction. State-of-the-art results are obtained on the publicly available wsj0-2mix and 3mix corpus.","Thu, 22 Nov 2018 03:46:44 UTC (725 KB)"
"13","Deep Learning and Density Functional Theory","Kevin Ryczko, David Strubbe, Isaac Tamblyn","Materials Science (cond-mat.mtrl-sci); Computational Physics (physics.comp-ph)","Density functional theory (DFT) is used for quantum mechanical simulations of electrons in molecules and materials, for applications in chemistry, physics, materials science, and engineering. However, usage of DFT for large numbers of atoms is hindered by typical scaling of $\mathcal{O}(N^3)$. Demonstration of a sufficiently accurate reduced model with deep neural networks would enable widespread application of DFT on larger, more complex systems for new scientific discoveries. We show that deep neural networks can be integrated into, or fully replace, the Kohn-Sham density functional theory scheme for multi-electron systems in simple harmonic oscillator and random external potentials. We first show that self-consistent charge densities can be used as input to an extensive deep neural network to make predictions for correlation, exchange, external, kinetic and total energies simultaneously. Additionally, we show that one can also make all of the same predictions with the external potential rather than the self-consistent charge density, which allows one to circumvent the Kohn-Sham scheme altogether. We then show that a self-consistent charge density found from a non-local exchange-correlation functional can be used to make energy predictions for a semi-local exchange-correlation functional. Lastly, we use a deep convolutional inverse graphics network to predict the charge density given an external potential and asses the viability of the predicted charge densities. This work shows that extensive deep neural networks are generalizable and transferable given the variability of the potentials and the fact that they can scale to an arbitrary system size with an $\mathcal{O}(N)$ computational cost.","Wed, 21 Nov 2018 20:03:01 UTC (2,513 KB)"
"14","Solving Nonlinear and High-Dimensional Partial Differential Equations via Deep Learning","Ali Al-Aradi, Adolfo Correia, Danilo Naiff, Gabriel Jardim, Yuri Saporito","Computational Finance (q-fin.CP)","In this work we apply the Deep Galerkin Method (DGM) described in Sirignano and Spiliopoulos (2018) to solve a number of partial differential equations that arise in quantitative finance applications including option pricing, optimal execution, mean field games, etc. The main idea behind DGM is to represent the unknown function of interest using a deep neural network. A key feature of this approach is the fact that, unlike other commonly used numerical approaches such as finite difference methods, it is mesh-free. As such, it does not suffer (as much as other numerical methods) from the curse of dimensionality associated with highdimensional PDEs and PDE systems. The main goals of this paper are to elucidate the features, capabilities and limitations of DGM by analyzing aspects of its implementation for a number of different PDEs and PDE systems. Additionally, we present: (1) a brief overview of PDEs in quantitative finance along with numerical methods for solving them; (2) a brief overview of deep learning and, in particular, the notion of neural networks; (3) a discussion of the theoretical foundations of DGM with a focus on the justification of why this method is expected to perform well.","Wed, 21 Nov 2018 15:34:05 UTC (3,229 KB)"
"15","Modeling Deep Learning Accelerator Enabled GPUs","Md Aamir Raihan, Negar Goli, Tor Aamodt","Mathematical Software (cs.MS); Hardware Architecture (cs.AR)","The efficacy of deep learning has resulted in it becoming one of the most important applications run in data centers today. The NVIDIA Tesla V100 GPU introduced a specialized functional unit called the Tensor Core to meet growing demand for higher performance on this workload. To exploit the full capability of current NVIDIA GPUs machine learning researchers have started to use Tensor Cores. For example, 5 out of 6, 2018 Gordon Bell Award Finalists used Tensor Cores in their work. However, currently no open-source GPU microarchitectural simulators model Tensor Cores. In this paper, we comprehensively investigate NVIDIA's Tensor Core implementation found in Volta and Turing architectures and propose an architectural model for it. Our Tensor Core timing model, implemented in GPGPU-Sim, achieves 99.6% IPC correlation versus a physical V100 GPU. Building upon this we also enable GPGPU-Sim to run NVIDIA's CUTLASS, an open-source CUDA C++ templates library providing customizable GEMM templates including the support for Tensor Cores.","Mon, 19 Nov 2018 00:07:34 UTC (6,528 KB)"
"16","Variance Suppression: Balanced Training Process in Deep Learning","Tao Yi, Xingxuan Wang","Machine Learning (cs.LG); Machine Learning (stat.ML)","Stochastic gradient descent updates parameters with summation gradient computed from a random data batch. This summation will lead to unbalanced training process if the data we obtained is unbalanced. To address this issue, this paper takes the error variance and error mean both into consideration. The adaptively adjusting approach of two terms trading off is also given in our algorithm. Due to this algorithm can suppress error variance, we named it Variance Suppression Gradient Descent (VSSGD). Experimental results have demonstrated that VSSGD can accelerate the training process, effectively prevent overfitting, improve the networks learning capacity from small samples.","Tue, 20 Nov 2018 10:16:31 UTC (1,135 KB)"
"17","Effect of Depth and Width on Local Minima in Deep Learning","Kenji Kawaguchi, Jiaoyang Huang, Leslie Pack Kaelbling","Machine Learning (cs.LG); Neural and Evolutionary Computing (cs.NE); Optimization and Control (math.OC); Machine Learning (stat.ML)","In this paper, we analyze the effects of depth and width on the quality of local minima, without strong over-parameterization and simplification assumptions in the literature. Without any simplification assumption, for deep nonlinear neural networks with the squared loss, we theoretically show that the quality of local minima tends to improve towards the global minimum value as depth and width increase. Furthermore, with a locally-induced structure on deep nonlinear neural networks, the values of local minima of neural networks are theoretically proven to be no worse than the globally optimal values of corresponding classical machine learning models. We empirically support our theoretical observation with a synthetic dataset as well as MNIST, CIFAR-10 and SVHN datasets. When compared to previous studies with strong over-parameterization assumptions, the results in this paper do not require over-parameterization, and instead show the gradual effects of over-parameterization as consequences of general results.","Tue, 20 Nov 2018 09:41:52 UTC (417 KB)"
"18","Non-invasive thermal comfort perception based on subtleness magnification and deep learning for energy efficiency","Xiaogang Cheng, Bin Yang, Anders Hedman, Thomas Olofsson, Haibo Li, Luc Van Gool","Human-Computer Interaction (cs.HC); Machine Learning (cs.LG)","Human thermal comfort measurement plays a critical role in giving feedback signals for building energy efficiency. A non-invasive measuring method based on subtleness magnification and deep learning (NIDL) was designed to achieve a comfortable, energy efficient built environment. The method relies on skin feature data, e.g., subtle motion and texture variation, and a 315-layer deep neural network for constructing the relationship between skin features and skin temperature. A physiological experiment was conducted for collecting feature data (1.44 million) and algorithm validation. The non-invasive measurement algorithm based on a partly-personalized saturation temperature model (NIPST) was used for algorithm performance comparisons. The results show that the mean error and median error of the NIDL are 0.4834 Celsius and 0.3464 Celsius which is equivalent to accuracy improvements of 16.28% and 4.28%, respectively.","Mon, 12 Nov 2018 18:24:48 UTC (1,696 KB)"
"19","Deep Learning for Automated Classification of Tuberculosis-Related Chest X-Ray: Dataset Specificity Limits Diagnostic Performance Generalizability","Seelwan Sathitratanacheewin (1 and 2), Krit Pongpirul (1, 2, and 3) ((1) Department of Preventive and Social Medicine, Faculty of Medicine, Chulalongkorn University, Bangkok, Thailand, (2) Thai Health AI Foundation, Bangkok, Thailand, (3) Department of International Health and Department of Health, Behavior, and Society, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, USA)","Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG); Machine Learning (stat.ML)","Machine learning has been an emerging tool for various aspects of infectious diseases including tuberculosis surveillance and detection. However, WHO provided no recommendations on using computer-aided tuberculosis detection software because of the small number of studies, methodological limitations, and limited generalizability of the findings. To quantify the generalizability of the machine-learning model, we developed a Deep Convolutional Neural Network (DCNN) model using a TB-specific CXR dataset of one population (National Library of Medicine Shenzhen No.3 Hospital) and tested it with non-TB-specific CXR dataset of another population (National Institute of Health Clinical Centers). The findings suggested that a supervised deep learning model developed by using the training dataset from one population may not have the same diagnostic performance in another population. Technical specification of CXR images, disease severity distribution, overfitting, and overdiagnosis should be examined before implementation in other settings.","Tue, 13 Nov 2018 16:32:42 UTC (227 KB)"
"20","Slum Segmentation and Change Detection : A Deep Learning Approach","Shishira R Maiya, Sudharshan Chandra Babu","Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG); Machine Learning (stat.ML)","More than one billion people live in slums around the world. In some developing countries, slum residents make up for more than half of the population and lack reliable sanitation services, clean water, electricity, other basic services. Thus, slum rehabilitation and improvement is an important global challenge, and a significant amount of effort and resources have been put into this endeavor. These initiatives rely heavily on slum mapping and monitoring, and it is essential to have robust and efficient methods for mapping and monitoring existing slum settlements. In this work, we introduce an approach to segment and map individual slums from satellite imagery, leveraging regional convolutional neural networks for instance segmentation using transfer learning. In addition, we also introduce a method to perform change detection and monitor slum change over time. We show that our approach effectively learns slum shape and appearance, and demonstrates strong quantitative results, resulting in a maximum AP of 80.0.","Mon, 19 Nov 2018 15:45:06 UTC (7,461 KB)"
"21","Ambulatory Atrial Fibrillation Monitoring Using Wearable Photoplethysmography with Deep Learning","Maxime Voisin, Yichen Shen, Alireza Aliamiri, Anand Avati, Awni Hannun, Andrew Ng","Medical Physics (physics.med-ph)","We develop an algorithm that accurately detects Atrial Fibrillation (AF) episodes from photoplethysmograms (PPG) recorded in ambulatory free-living conditions. We collect and annotate a dataset containing more than 4000 hours of PPG recorded from a wrist-worn device. Using a 50-layer convolutional neural network, we achieve a test AUC of 95% and show robustness to motion artifacts inherent to PPG signals. Continuous and accurate detection of AF from PPG has the potential to transform consumer wearable devices into clinically useful medical monitoring tools.","Mon, 12 Nov 2018 06:47:23 UTC (875 KB)"
"22","Addressing the Invisible: Street Address Generation for Developing Countries with Deep Learning","Ilke Demir, Ramesh Raskar","Computer Vision and Pattern Recognition (cs.CV); Computers and Society (cs.CY); Machine Learning (cs.LG); Machine Learning (stat.ML)","More than half of the world's roads lack adequate street addressing systems. Lack of addresses is even more visible in daily lives of people in developing countries. We would like to object to the assumption that having an address is a luxury, by proposing a generative address design that maps the world in accordance with streets. The addressing scheme is designed considering several traditional street addressing methodologies employed in the urban development scenarios around the world. Our algorithm applies deep learning to extract roads from satellite images, converts the road pixel confidences into a road network, partitions the road network to find neighborhoods, and labels the regions, roads, and address units using graph- and proximity-based algorithms. We present our results on a sample US city, and several developing cities, compare travel times of users using current ad hoc and new complete addresses, and contrast our addressing solution to current industrial and open geocoding alternatives.","Sat, 10 Nov 2018 07:34:04 UTC (7,647 KB)"
"23","How far from automatically interpreting deep learning","Jinwei Zhao, Qizhou Wang, Yufei Wang, Xinhong Hei, Yu Liu","Machine Learning (cs.LG); Machine Learning (stat.ML)","In recent years, deep learning researchers have focused on how to find the interpretability behind deep learning models. However, today cognitive competence of human has not completely covered the deep learning model. In other words, there is a gap between the deep learning model and the cognitive mode. How to evaluate and shrink the cognitive gap is a very important issue. In this paper, the interpretability evaluation, the relationship between the generalization performance and the interpretability of the model and the method for improving the interpretability are concerned. A universal learning framework is put forward to solve the equilibrium problem between the two performances. The uniqueness of solution of the problem is proved and condition of unique solution is obtained. Probability upper bound of the sum of the two performances is analyzed.","Mon, 19 Nov 2018 15:25:02 UTC (714 KB)"
"24","Self-Referenced Deep Learning","Xu Lan, Xiatian Zhu, Shaogang Gong","Computer Vision and Pattern Recognition (cs.CV)","Knowledge distillation is an effective approach to transferring knowledge from a teacher neural network to a student target network for satisfying the low-memory and fast running requirements in practice use. Whilst being able to create stronger target networks compared to the vanilla non-teacher based learning strategy, this scheme needs to train additionally a large teacher model with expensive computational cost. In this work, we present a Self-Referenced Deep Learning (SRDL) strategy. Unlike both vanilla optimisation and existing knowledge distillation, SRDL distils the knowledge discovered by the in-training target model back to itself to regularise the subsequent learning procedure therefore eliminating the need for training a large teacher model. SRDL improves the model generalisation performance compared to vanilla learning and conventional knowledge distillation approaches with negligible extra computational cost. Extensive evaluations show that a variety of deep networks benefit from SRDL resulting in enhanced deployment performance on both coarse-grained object categorisation tasks (CIFAR10, CIFAR100, Tiny ImageNet, and ImageNet) and fine-grained person instance identification tasks (Market-1501).","Mon, 19 Nov 2018 10:41:17 UTC (1,924 KB)"
"25","DeepSeeNet: A deep learning model for automated classification of patient-based age-related macular degeneration severity from color fundus photographs","Yifan Peng, Shazia Dharssi, Qingyu Chen, Tiarnan D. Keenan, Elvira Agron, Wai T. Wong, Emily Y. Chew, Zhiyong Lu","Computer Vision and Pattern Recognition (cs.CV)","In assessing the severity of age-related macular degeneration (AMD), the Age-Related Eye Disease Study (AREDS) Simplified Severity Scale predicts the risk of progression to late AMD. However, its manual use requires the time-consuming participation of expert practitioners. While several automated deep learning (DL) systems have been developed for classifying color fundus photographs of individual eyes by AREDS severity score, none to date has utilized a patient-based scoring system that employs images from both eyes to assign a severity score. DeepSeeNet, a DL model, was developed to classify patients automatically by the AREDS Simplified Severity Scale (score 0-5) using bilateral color fundus images. DeepSeeNet was trained on 58,402 and tested on 900 images from the longitudinal follow up of 4,549 participants from AREDS. Gold standard labels were obtained using reading center grades. DeepSeeNet simulates the human grading process by first detecting individual AMD risk factors (drusen size; pigmentary abnormalities) for each eye and then calculating a patient-based AMD severity score using the AREDS Simplified Severity Scale. DeepSeeNet performed better on patient-based, multi-class classification (accuracy=0.671; kappa=0.558) than retinal specialists (accuracy=0.599; kappa=0.467) with high AUCs in the detection of large drusen (0.94), pigmentary abnormalities (0.93) and late AMD (0.97), respectively. DeepSeeNet demonstrated high accuracy with increased transparency in the automated assignment of individual patients to AMD risk categories based on the AREDS Simplified Severity Scale. These results highlight the potential of deep learning systems to assist and enhance clinical decision-making processes in AMD patients such as early AMD detection and risk prediction for developing late AMD. DeepSeeNet is publicly available on this https URL.","Mon, 19 Nov 2018 04:19:34 UTC (2,098 KB)"
"26","Taming the latency in multi-user VR 360$^\circ$: A QoE-aware deep learning-aided multicast framework","Cristina Perfecto, Mohammed S. Elbamby, Javier Del Ser, Mehdi Bennis","Information Theory (cs.IT)","Immersive virtual reality (VR) applications are known to require ultra-high data rate and low-latency for smooth operation. In this paper, we propose a proactive deep-learning aided joint scheduling and content quality adaptation scheme for multi-user VR field of view (FoV) wireless video streaming. Using a real VR head-tracking dataset, a deep recurrent neural network (DRNN) based on gated recurrent units (GRUs) is leveraged to obtain users' upcoming tiled FoV predictions. Subsequently, to exploit a physical layer FoV-centric millimeter wave (mmWave) multicast transmission, users are hierarchically clustered according to their predicted FoV similarity and location. We pose the problem as a quality admission maximization problem under tight latency constraints, and adopt the Lyapunov framework to model the problem of dynamically admitting and scheduling proactive and real-time high definition (HD) video chunk requests, corresponding to a tile in the FoV of a user cluster for a given video frame, while maintaining the system stability. After decoupling the problem into three subproblems, a matching theory game is proposed to solve the scheduling subproblem by associating chunk requests from clusters of users to mmWave small cell base stations (SBSs) for multicast transmission. Simulation results demonstrate the streaming quality gain and latency reduction brought by using the proposed scheme. It is shown that the prediction of FoV significantly improves the VR streaming experience using proactive scheduling of the video tiles in the users' future FoV. Moreover, multicasting significantly reduces the VR frame delay in a multi-user setting by applying content-reuse in clusters of users with highly overlapping FoVs.","Sun, 18 Nov 2018 19:43:19 UTC (1,874 KB)"
"27","Deep Learning with Inaccurate Training Data for Image Restoration","Bolin Liu, Xiao Shu, Xiaolin Wu","Computer Vision and Pattern Recognition (cs.CV)","In many applications of deep learning, particularly those in image restoration, it is either very difficult, prohibitively expensive, or outright impossible to obtain paired training data precisely as in the real world. In such cases, one is forced to use synthesized paired data to train the deep convolutional neural network (DCNN). However, due to the unavoidable generalization error in statistical learning, the synthetically trained DCNN often performs poorly on real world data. To overcome this problem, we propose a new general training method that can compensate for, to a large extent, the generalization errors of synthetically trained DCNNs.","Sun, 18 Nov 2018 04:01:33 UTC (8,415 KB)"
"28","Classifiers Based on Deep Sparse Coding Architectures are Robust to Deep Learning Transferable Examples","Jacob M. Springer, Charles S. Strauss, Austin M. Thresher, Edward Kim, Garrett T. Kenyon","Machine Learning (cs.LG); Cryptography and Security (cs.CR); Computer Vision and Pattern Recognition (cs.CV); Neural and Evolutionary Computing (cs.NE); Machine Learning (stat.ML)","Although deep learning has shown great success in recent years, researchers have discovered a critical flaw where small, imperceptible changes in the input to the system can drastically change the output classification. These attacks are exploitable in nearly all of the existing deep learning classification frameworks. However, the susceptibility of deep sparse coding models to adversarial examples has not been examined. Here, we show that classifiers based on a deep sparse coding model whose classification accuracy is competitive with a variety of deep neural network models are robust to adversarial examples that effectively fool those same deep learning models. We demonstrate both quantitatively and qualitatively that the robustness of deep sparse coding models to adversarial examples arises from two key properties. First, because deep sparse coding models learn general features corresponding to generators of the dataset as a whole, rather than highly discriminative features for distinguishing specific classes, the resulting classifiers are less dependent on idiosyncratic features that might be more easily exploited. Second, because deep sparse coding models utilize fixed point attractor dynamics with top-down feedback, it is more difficult to find small changes to the input that drive the resulting representations out of the correct attractor basin.","Sat, 17 Nov 2018 19:39:54 UTC (3,471 KB)[v2] Tue, 20 Nov 2018 18:55:55 UTC (3,471 KB)"
"29","A Study of Human Body Characteristics Effect on Micro-Doppler-Based Person Identification using Deep Learning","Sherif Abdulatif, Fady Aziz, Karim Armanious, Bernhard Kleiner, Bin Yang, Urs Schneider","Computer Vision and Pattern Recognition (cs.CV)","Obtaining a smart surveillance requires a sensing system that can capture accurate and detailed information for the human walking style. The radar micro-Doppler ($\boldsymbol¥ì$-D) analysis is proved to be a reliable metric for studying human locomotions. Thus, $\boldsymbol¥ì$-D signatures can be used to identify humans based on their walking styles. Additionally, the signatures contain information about the radar cross section (RCS) of the moving subject. This paper investigates the effect of human body characteristics on human identification based on their $\boldsymbol¥ì$-D signatures. In our proposed experimental setup, a treadmill is used to collect $\boldsymbol¥ì$-D signatures of 22 subjects with different genders and body characteristics. Convolutional autoencoders (CAE) are then used to extract the latent space representation from the $\boldsymbol¥ì$-D signatures. It is then interpreted in two dimensions using t-distributed stochastic neighbor embedding (t-SNE). Our study shows that the body mass index (BMI) has a correlation with the $\boldsymbol¥ì$-D signature of the walking subject. A 50-layer deep residual network is then trained to identify the walking subject based on the $\boldsymbol¥ì$-D signature. We achieve an accuracy of 98% on the test set with high signal-to-noise-ratio (SNR) and 84% in case of different SNR levels.","Sat, 17 Nov 2018 14:53:22 UTC (10,159 KB)"
